Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Maintenance/Follow 3""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(15),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 4""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Follow 5""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(15),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"click(findTestObject(""Maintenance/Button Close""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Button Home""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Button Explore""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Show More Hastag""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"scrollToPosition(0, 9)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
"scrollToPosition(0, 99)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"scrollToPosition(0, 999)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"scrollToPosition(0, 9999)",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"sendKeys(findTestObject(null), Keys.chord(HOME))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(5),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Button Notifikasi""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.001s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
"click(findTestObject(""Maintenance/Notification Mention""))",Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
delay(10),Firefox 73.0,,,2020-02-26 15:59:45,2020-02-26 15:59:45,0.000s,NOT_RUN
